1508,VX7d5EQAAAAJ,J_XhIsgAAAAJ
,author_1,author_2
1509,VX7d5EQAAAAJ,-JOkpfQAAAAJ
,author_1,author_2
1510,VX7d5EQAAAAJ,LfF2zfQAAAAJ
,author_1,author_2
1511,VX7d5EQAAAAJ,8IWkmnEAAAAJ
,author_1,author_2
1512,VX7d5EQAAAAJ,WaGlwJ4AAAAJ
,author_1,author_2
1513,VX7d5EQAAAAJ,FMSltawAAAAJ
,author_1,author_2
1514,VX7d5EQAAAAJ,x8UpLZUAAAAJ
,author_1,author_2
1515,VX7d5EQAAAAJ,zkvW8FQAAAAJ
,author_1,author_2
1516,VX7d5EQAAAAJ,rXYLXJMAAAAJ
,author_1,author_2
1517,VX7d5EQAAAAJ,c4M3MQoAAAAJ
,author_1,author_2
1518,VX7d5EQAAAAJ,oJESe-cAAAAJ
,author_1,author_2
1519,VX7d5EQAAAAJ,OPg56pYAAAAJ
,author_1,author_2
1520,nd8lQQIAAAAJ,Q_kKkIUAAAAJ
,author_1,author_2
1521,nd8lQQIAAAAJ,eCXMUQEAAAAJ
,author_1,author_2
1522,nd8lQQIAAAAJ,RaINcuUAAAAJ
,author_1,author_2
1523,nd8lQQIAAAAJ,4ITkr_kAAAAJ
,author_1,author_2
1524,nd8lQQIAAAAJ,2P1kinAAAAAJ
,author_1,author_2
1525,nd8lQQIAAAAJ,NVTb6RYAAAAJ
,author_1,author_2
1526,nd8lQQIAAAAJ,YON32W4AAAAJ
,author_1,author_2
1527,nd8lQQIAAAAJ,9jmmp5sAAAAJ
,author_1,author_2
1528,nd8lQQIAAAAJ,v2-C4i4AAAAJ
,author_1,author_2
1529,nd8lQQIAAAAJ,ZOkfkFMAAAAJ
,author_1,author_2
1530,nd8lQQIAAAAJ,bEn7ySYAAAAJ
,author_1,author_2
1531,nd8lQQIAAAAJ,TXb5Ym8AAAAJ
,author_1,author_2
1532,nd8lQQIAAAAJ,G1Iux80AAAAJ
,author_1,author_2
1533,nd8lQQIAAAAJ,XPdhXUUAAAAJ
,author_1,author_2
1534,nd8lQQIAAAAJ,IkEXPUEAAAAJ
,author_1,author_2
1535,nd8lQQIAAAAJ,LjvTwaMAAAAJ
,author_1,author_2
1536,nd8lQQIAAAAJ,D0lL1r0AAAAJ
,author_1,author_2
1537,nd8lQQIAAAAJ,e_IqHGYAAAAJ
,author_1,author_2
1538,nd8lQQIAAAAJ,MoFbcc0AAAAJ
,author_1,author_2
1539,nd8lQQIAAAAJ,2aXlMOAAAAAJ
,author_1,author_2
1540,ZH31nVgAAAAJ,dUV_NvIAAAAJ
,author_1,author_2
1541,ZH31nVgAAAAJ,BSFdGw0AAAAJ
,author_1,author_2
1542,ZH31nVgAAAAJ,k6Ei14sAAAAJ
,author_1,author_2
1543,ZjfgPLMAAAAJ,Pf_pMQkAAAAJ
,author_1,author_2
1544,ZjfgPLMAAAAJ,VOnf_9kAAAAJ
,author_1,author_2
1545,ZjfgPLMAAAAJ,HhoOnBAAAAAJ
,author_1,author_2
1546,ZjfgPLMAAAAJ,-t7Y3hAAAAAJ
,author_1,author_2
1547,ZjfgPLMAAAAJ,3YyOQ6AAAAAJ
,author_1,author_2
1548,ZjfgPLMAAAAJ,UMlVFBwAAAAJ
,author_1,author_2
1549,ZjfgPLMAAAAJ,Xbwuw8gAAAAJ
,author_1,author_2
1550,ZjfgPLMAAAAJ,1kETXBAAAAAJ
,author_1,author_2
1551,ZjfgPLMAAAAJ,Koh2zBcAAAAJ
,author_1,author_2
1552,ZjfgPLMAAAAJ,iiV6O9sAAAAJ
,author_1,author_2
1553,ZjfgPLMAAAAJ,PkYaLhEAAAAJ
,author_1,author_2
1554,ZjfgPLMAAAAJ,1rwqrz4AAAAJ
,author_1,author_2
1555,ZjfgPLMAAAAJ,vCuk0SQAAAAJ
